iso3,any_cov,bureau_cov,registry_cov,depth_credit_info_0_8,legal_rights_0_12,lowcov2019_z,lowbureau2019_z,lowregistry2019_z,lowdepth2019_z,lowrights2019_z,lowcov2019_bmedian,gdp_pc_year,gdp_pc,privcredit_gdp_year,privcredit_gdp,acct_own_rate,lgdppc
SLE,2.1,0,2.1,0,5,1.24075925845594,0.956229552136382,0.57727095544248,2.15998284611368,0.304471594457948,1,2023,758.329137301888,2023,3.23642146039244,0.150593286076446,6.63111750947335
SLV,53.2,53.2,30.4,7,9,-0.369249227731803,-0.622061502027887,-0.600481924368112,-0.404052735199587,-0.965796993173059,0,2023,5319.7195268688,2023,62.4327826178303,0.430178926196511,8.57917586043253
SRB,100,100,0,7,6,-1.84377754776285,-2.01048295569119,0.664666045463761,-0.404052735199587,-0.0130955524498041,0,2023,12281.707946167,2023,33.044281917872,0.836067818153191,9.415866275594
SWZ,54.2,54.2,0,7,4,-0.400756243117081,-0.651728627106162,0.664666045463761,-0.404052735199587,0.622038741365699,0,2023,3755.52111232464,2023,21.3095273182131,0.428500459599172,8.23098233281833
TCD,2.5,0,2.5,0,6,1.22815645230183,0.956229552136382,0.560624271628903,2.15998284611368,-0.0130955524498041,1,2023,949.991054236266,2021,8.32290954891334,0.149352707707248,6.85645256795685
TGO,13.6,13.6,0,8,6,0.878428581525235,0.552756651071832,0.664666045463761,-0.770343532530054,-0.0130955524498041,1,2023,1182.32951436696,2023,26.2933878174457,0.322713732076747,7.07524193607517
THA,56.5,56.5,0,7,7,-0.473222378503222,-0.719963014786197,0.664666045463761,-0.404052735199587,-0.330662699357556,0,2023,7210.54130832685,2023,153.81071706352,0.912189098626158,8.88329930489867
TJK,47.6,47.6,0,7,11,-0.192809941574242,-0.455925601589543,0.664666045463761,-0.404052735199587,-1.60093128698856,0,2023,1178.47990060249,2023,12.2229106929242,0.524402209137211,7.07198066716286
TUN,36.4,0,36.4,7,3,0.16006863074088,0.956229552136382,-0.850182181571771,-0.404052735199587,0.939605888273451,1,2023,3951.11683376921,2023,62.7305652264979,0.376501490554076,8.28175356065736
TUR,80.2,0,80.2,8,7,-1.21993864313433,0.956229552136382,-2.67299405915848,-0.770343532530054,-0.330662699357556,0,2023,13375.0947282864,2023,48.7952169007544,0.814634631541505,9.50114965422783
TZA,6.1,6.1,0,8,5,1.11473119691483,0.7752600891589,0.664666045463761,-0.770343532530054,0.304471594457948,1,2023,1224.00219726563,2023,16.386679568119,0.21944173366806,7.10988125822232
UGA,6.9,6.9,0,7,5,1.0895255846066,0.75152638909628,0.664666045463761,-0.404052735199587,0.304471594457948,1,2023,1002.30913917142,2023,14.8125509462498,0.262440482521701,6.91006175618881
UKR,56.9,56.9,2.4,7,8,-0.485825184657334,-0.731829864817507,0.564785942582297,-0.404052735199587,-0.648229846265308,0,2023,5139.59814453125,2023,18.6466208363539,0.875138907837935,8.54473017339503
UZB,47.8,47.8,0,7,6,-0.199111344651297,-0.461859026605198,0.664666045463761,-0.404052735199587,-0.0130955524498041,0,2023,3015.97705069457,2023,32.7949630932238,0.597876116658223,8.01167911991275
VEN,40.7,40.7,0,7,1,0.0245884645841814,-0.25122243854944,0.664666045463761,-0.404052735199587,1.57474018208895,0,2023,3617.47038396528,2013,27.472799415793,0.887561410924044,8.19353027159314
VNM,59.4,20.6,59.4,8,8,-0.564592723120531,0.345086775523902,-1.80736650085246,-0.770343532530054,-0.648229846265308,0,2023,4322.82572261566,2022,124.961478822546,0.698626493918302,8.37166456986371
XKX,41.4,0,41.4,6,11,0.00253355381448643,0.956229552136382,-1.05826572924149,-0.0377619378691202,-1.60093128698856,0,2023,6220.33213919344,2023,55.0457348171058,0.641004783148743,8.73557858289173
ZAF,66.5,66.5,0,7,5,-0.788292532356009,-1.01663426556895,0.664666045463761,-0.404052735199587,0.304471594457948,0,2023,6034.27208964673,2023,89.7117995863871,0.776802455626108,8.70521051145124
ZMB,9.1,9.1,0,8,11,1.02021015075899,0.686258713924073,0.664666045463761,-0.770343532530054,-1.60093128698856,1,2023,1330.72780576709,2023,15.6263060649433,0.241085103315153,7.1934812939255
ZWE,50.2,50.2,8.8,7,6,-0.274728181575966,-0.533060126793059,0.29843900156506,-0.404052735199587,-0.0130955524498041,0,2023,2195.22502010174,2023,6.47769726494533,0.216115461594856,7.69403983510771
